<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCHF;D;20220708;000000;0.9737700;0.9797700;0.9717000;0.9761900;2169865
USDCHF;D;20220710;000000;0.9757000;0.9778900;0.9753400;0.9776100;101697
USDCHF;D;20220711;000000;0.9776700;0.9843100;0.9770000;0.9829600;2047312
USDCHF;D;20220712;000000;0.9828700;0.9858800;0.9799000;0.9818900;2379385
USDCHF;D;20220713;000000;0.9818900;0.9830200;0.9748200;0.9807700;2602123
USDCHF;D;20220714;000000;0.9807900;0.9886000;0.9800000;0.9829100;2704054
USDCHF;D;20220715;000000;0.9828900;0.9841400;0.9751400;0.9751900;2075161
USDCHF;D;20220717;000000;0.9756000;0.9770000;0.9752000;0.9754300;60394
USDCHF;D;20220718;000000;0.9754800;0.9790100;0.9725000;0.9775100;2020505
USDCHF;D;20220719;000000;0.9774500;0.9787000;0.9651000;0.9687800;2024174
USDCHF;D;20220720;000000;0.9687800;0.9736200;0.9670700;0.9715100;1880230
USDCHF;D;20220721;000000;0.9715300;0.9739300;0.9655000;0.9663500;2374327
USDCHF;D;20220722;000000;0.9663100;0.9704000;0.9594000;0.9606000;1822194
USDCHF;D;20220724;000000;0.9608000;0.9634600;0.9603500;0.9632100;74059
USDCHF;D;20220725;000000;0.9632700;0.9660500;0.9614000;0.9643000;1706452
USDCHF;D;20220726;000000;0.9641200;0.9667700;0.9610000;0.9622800;1626199
USDCHF;D;20220727;000000;0.9623000;0.9659300;0.9579000;0.9583200;1890123
USDCHF;D;20220728;000000;0.9582700;0.9632100;0.9537100;0.9543400;2160187
USDCHF;D;20220729;000000;0.9543000;0.9593900;0.9498000;0.9512000;2049533
USDCHF;D;20220731;000000;0.9509000;0.9534600;0.9505400;0.9527800;56505
USDCHF;D;20220801;000000;0.9528600;0.9529600;0.9476000;0.9500600;1713673
USDCHF;D;20220802;000000;0.9501500;0.9587100;0.9468000;0.9582700;1944689
USDCHF;D;20220803;000000;0.9583800;0.9651500;0.9536000;0.9612200;1936435
USDCHF;D;20220804;000000;0.9611900;0.9623000;0.9536000;0.9539500;1776210
USDCHF;D;20220805;000000;0.9540500;0.9649900;0.9533000;0.9616100;1709864
USDCHF;D;20220807;000000;0.9606000;0.9626200;0.9606000;0.9621200;57799
USDCHF;D;20220808;000000;0.9621200;0.9635100;0.9517000;0.9549600;1606771
USDCHF;D;20220809;000000;0.9549600;0.9556000;0.9505000;0.9541600;1396833
USDCHF;D;20220810;000000;0.9542200;0.9545200;0.9388000;0.9423700;1733303
USDCHF;D;20220811;000000;0.9423400;0.9446100;0.9366000;0.9414900;1683435
USDCHF;D;20220812;000000;0.9414800;0.9450400;0.9402000;0.9408300;1442420
USDCHF;D;20220814;000000;0.9408000;0.9420100;0.9401300;0.9418200;38583
USDCHF;D;20220815;000000;0.9418300;0.9471300;0.9404000;0.9459500;1498687
USDCHF;D;20220816;000000;0.9459400;0.9514100;0.9448000;0.9496900;1705482
USDCHF;D;20220817;000000;0.9496800;0.9543500;0.9477000;0.9513200;1917592
USDCHF;D;20220818;000000;0.9512400;0.9571400;0.9492000;0.9566900;1744547
USDCHF;D;20220819;000000;0.9566300;0.9598400;0.9548000;0.9586000;1560856
USDCHF;D;20220821;000000;0.9584000;0.9590600;0.9571600;0.9587800;76103
USDCHF;D;20220822;000000;0.9587300;0.9658800;0.9568000;0.9644200;1621754
USDCHF;D;20220823;000000;0.9644100;0.9692400;0.9600000;0.9644700;1890611
USDCHF;D;20220824;000000;0.9644400;0.9687800;0.9602000;0.9665700;1713244
USDCHF;D;20220825;000000;0.9664800;0.9671200;0.9607000;0.9636400;1716666
USDCHF;D;20220826;000000;0.9636800;0.9669300;0.9575000;0.9662000;1661942
USDCHF;D;20220828;000000;0.9658000;0.9688100;0.9644500;0.9686600;95194
USDCHF;D;20220829;000000;0.9686600;0.9707800;0.9654000;0.9672500;1597445
USDCHF;D;20220830;000000;0.9672200;0.9762200;0.9660000;0.9738000;1793717
USDCHF;D;20220831;000000;0.9740200;0.9807200;0.9720000;0.9792100;1762580
USDCHF;D;20220901;000000;0.9791400;0.9861000;0.9741000;0.9812000;1863361
USDCHF;D;20220902;000000;0.9811300;0.9859200;0.9781000;0.9803000;1631702
USDCHF;D;20220904;000000;0.9802000;0.9834400;0.9790000;0.9833100;114417
USDCHF;D;20220905;000000;0.9832200;0.9837400;0.9781800;0.9786200;1503694
USDCHF;D;20220906;000000;0.9785700;0.9861400;0.9759000;0.9846600;2147517
USDCHF;D;20220907;000000;0.9846100;0.9869700;0.9758000;0.9766400;1923667
USDCHF;D;20220908;000000;0.9767000;0.9782200;0.9683000;0.9686400;2378295
USDCHF;D;20220909;000000;0.9686300;0.9688200;0.9543000;0.9598000;1997475
USDCHF;D;20220911;000000;0.9594000;0.9609400;0.9565100;0.9596500;122623
USDCHF;D;20220912;000000;0.9597000;0.9608200;0.9506000;0.9529100;2108656
USDCHF;D;20220913;000000;0.9529300;0.9633000;0.9476000;0.9606300;2070125
USDCHF;D;20220914;000000;0.9605700;0.9636500;0.9583000;0.9620600;2342363
USDCHF;D;20220915;000000;0.9620700;0.9642100;0.9550000;0.9618100;1779296
USDCHF;D;20220916;000000;0.9618300;0.9661200;0.9595000;0.9646000;2046982
USDCHF;D;20220918;000000;0.9641000;0.9650000;0.9624600;0.9631800;104667
USDCHF;D;20220919;000000;0.9630900;0.9695500;0.9621000;0.9640000;1880953
USDCHF;D;20220920;000000;0.9639100;0.9682500;0.9620000;0.9637000;2588275
USDCHF;D;20220921;000000;0.9637700;0.9700000;0.9618000;0.9677800;2921623
USDCHF;D;20220922;000000;0.9677700;0.9850200;0.9619000;0.9758300;3639896
USDCHF;D;20220923;000000;0.9758500;0.9840000;0.9750000;0.9813900;2983589
USDCHF;D;20220925;000000;0.9814000;0.9833000;0.9783400;0.9824200;160359
USDCHF;D;20220926;000000;0.9824200;0.9965800;0.9800000;0.9922200;3412696
USDCHF;D;20220927;000000;0.9922600;0.9929100;0.9839000;0.9917000;2861754
USDCHF;D;20220928;000000;0.9917400;0.9965800;0.9742400;0.9778100;3393404
USDCHF;D;20220929;000000;0.9777900;0.9856200;0.9733300;0.9749900;2953213
USDCHF;D;20220930;000000;0.9748800;0.9877200;0.9735000;0.9860000;2986433
USDCHF;D;20221002;000000;0.9841000;0.9870000;0.9839700;0.9854800;110892
USDCHF;D;20221003;000000;0.9855400;0.9950100;0.9829000;0.9927600;2761803
USDCHF;D;20221004;000000;0.9927400;0.9942000;0.9781000;0.9787100;2759847
USDCHF;D;20221005;000000;0.9786900;0.9889100;0.9778000;0.9812400;2459059
USDCHF;D;20221006;000000;0.9812400;0.9913800;0.9777000;0.9899800;2578092
USDCHF;D;20221007;000000;0.9900000;0.9953500;0.9875000;0.9935000;2287283
