<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDJPY;D;20220815;000000;133.3160000;133.5420000;132.5200000;133.1250000;2423859
USDJPY;D;20220816;000000;133.1310000;134.6850000;132.9200000;134.2780000;2414901
USDJPY;D;20220817;000000;134.2780000;135.5010000;133.8800000;134.9530000;2745605
USDJPY;D;20220818;000000;134.9520000;135.9020000;134.6200000;135.8060000;2584055
USDJPY;D;20220819;000000;135.7930000;137.2310000;135.7900000;136.9300000;2355687
USDJPY;D;20220821;000000;136.8300000;137.0780000;136.7820000;137.0210000;133759
USDJPY;D;20220822;000000;137.0190000;137.6510000;136.6700000;137.5770000;2476407
USDJPY;D;20220823;000000;137.5740000;137.7100000;135.7800000;136.7400000;2822671
USDJPY;D;20220824;000000;136.7430000;137.2460000;136.1500000;137.0870000;2540601
USDJPY;D;20220825;000000;137.0970000;137.2010000;136.2900000;136.5540000;2455670
USDJPY;D;20220826;000000;136.5640000;137.7550000;136.1800000;137.7520000;2601083
USDJPY;D;20220828;000000;137.6700000;138.2150000;137.5220000;138.1590000;166020
USDJPY;D;20220829;000000;138.1600000;139.0020000;138.0500000;138.6410000;2435635
USDJPY;D;20220830;000000;138.6440000;139.0810000;138.0200000;138.7620000;2637058
USDJPY;D;20220831;000000;138.7570000;139.4440000;138.2400000;139.3330000;2630349
USDJPY;D;20220901;000000;139.3230000;140.2760000;139.0300000;140.0830000;2614905
USDJPY;D;20220902;000000;140.0840000;140.8010000;139.8400000;140.1520000;2414615
USDJPY;D;20220904;000000;140.1500000;140.5500000;140.0100000;140.5390000;134863
USDJPY;D;20220905;000000;140.5340000;140.6640000;140.0900000;140.4320000;2039415
USDJPY;D;20220906;000000;140.4320000;143.6040000;140.2200000;143.1580000;2837276
USDJPY;D;20220907;000000;143.1580000;144.9920000;142.9000000;144.0890000;3412931
USDJPY;D;20220908;000000;144.0890000;144.5610000;143.2900000;143.8740000;3103341
USDJPY;D;20220909;000000;143.8720000;143.9610000;141.4800000;142.5640000;3309240
USDJPY;D;20220911;000000;142.5700000;142.7560000;142.0070000;142.5570000;113005
USDJPY;D;20220912;000000;142.5640000;143.4950000;142.1300000;142.5800000;2816150
USDJPY;D;20220913;000000;142.5770000;144.9650000;141.5950000;144.4460000;3697991
USDJPY;D;20220914;000000;144.4530000;144.8530000;142.5200000;142.9190000;3461768
USDJPY;D;20220915;000000;142.9170000;143.8020000;142.8800000;143.3330000;3037371
USDJPY;D;20220916;000000;143.3290000;143.6930000;142.8100000;142.9060000;2338103
USDJPY;D;20220918;000000;142.9170000;143.1250000;142.6100000;142.7590000;160991
USDJPY;D;20220919;000000;142.7550000;143.6450000;142.6600000;143.1820000;2662974
USDJPY;D;20220920;000000;143.1790000;143.9240000;142.9100000;143.5790000;2816645
USDJPY;D;20220921;000000;143.5820000;144.7040000;143.3200000;144.2380000;4214221
USDJPY;D;20220922;000000;144.2320000;145.9030000;140.3300000;142.2660000;5776918
USDJPY;D;20220923;000000;142.2710000;143.4620000;141.7400000;143.3200000;4170171
USDJPY;D;20220925;000000;143.2900000;143.7690000;143.1840000;143.5190000;195670
USDJPY;D;20220926;000000;143.5190000;144.7890000;143.3800000;144.4640000;4172821
