<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20220921;0;90.0934357;;;91.9698260;
USDRUB;D;20220922;0;89.7832355;;;90.6018757;
USDRUB;D;20220923;0;89.0858491;;;85.6011801;
USDRUB;D;20220925;0;85.8749153;;;86.5767698;
USDRUB;D;20220926;0;87.2652061;;;89.6332593;
USDRUB;D;20220927;0;88.4848021;;;89.8763524;
USDRUB;D;20220928;0;89.2470792;;;90.0477175;
USDRUB;D;20220929;0;89.2926530;;;87.2700990;
USDRUB;D;20220930;0;88.0254072;;;90.9621708;
USDRUB;D;20221002;0;90.9663640;;;94.0702905;
USDRUB;D;20221003;0;93.7988129;;;90.3825843;
USDRUB;D;20221004;0;90.3729262;;;90.7597078;
USDRUB;D;20221005;0;90.7513686;;;92.1234454;
USDRUB;D;20221006;0;92.6224474;;;93.2864470;
USDRUB;D;20221007;0;92.9376987;;;95.0279861;
USDRUB;D;20221010;0;95.3884290;;;97.3618090;
USDRUB;D;20221011;0;98.0331344;;;102.9100346;
