<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDNOK;D;20220901;000000;9.9529100;10.0803500;9.9440000;10.0424000;2836270
USDNOK;D;20220902;000000;10.0423000;10.0552000;9.9335500;10.0141000;2655992
USDNOK;D;20220904;000000;10.0336800;10.0680000;10.0202000;10.0591700;94306
USDNOK;D;20220905;000000;10.0614900;10.0710000;9.9280000;9.9368900;2349012
USDNOK;D;20220906;000000;9.9411600;10.0597000;9.9020000;10.0346500;3102836
USDNOK;D;20220907;000000;10.0368000;10.0861000;9.9699800;10.0052700;3074796
USDNOK;D;20220908;000000;10.0038000;10.1237600;9.9697400;10.0202400;3203586
USDNOK;D;20220909;000000;10.0207800;10.0336000;9.8365100;9.9214000;2877998
USDNOK;D;20220911;000000;9.9038000;9.9088000;9.8487000;9.8701700;49431
USDNOK;D;20220912;000000;9.8652900;9.9111000;9.7768200;9.8315000;2598146
USDNOK;D;20220913;000000;9.8315000;10.1274500;9.7987000;10.1071000;3127903
USDNOK;D;20220914;000000;10.1070000;10.1485900;10.0430500;10.0836000;2821295
USDNOK;D;20220915;000000;10.0856000;10.1860000;10.0765000;10.1853000;2693736
USDNOK;D;20220916;000000;10.1855000;10.2891100;10.1410000;10.1850000;3169403
USDNOK;D;20220918;000000;10.1963000;10.2237500;10.1717000;10.1846000;135069
USDNOK;D;20220919;000000;10.1835500;10.3358000;10.1694000;10.2057000;3956913
USDNOK;D;20220920;000000;10.2056000;10.3587000;10.1698000;10.3288700;4461006
USDNOK;D;20220921;000000;10.3282100;10.4085000;10.2298000;10.3663700;4188987
USDNOK;D;20220922;000000;10.3653000;10.4374000;10.2762500;10.3928300;5136076
USDNOK;D;20220923;000000;10.3970300;10.6580000;10.3749000;10.5994000;4589029
USDNOK;D;20220925;000000;10.5711000;10.6178000;10.5708000;10.6018000;55252
USDNOK;D;20220926;000000;10.5924000;10.8576000;10.5825000;10.7825000;3765638
USDNOK;D;20220927;000000;10.7861600;10.8557500;10.6851000;10.8027000;4224963
USDNOK;D;20220928;000000;10.7996200;11.0107000;10.6399000;10.6987000;4723390
USDNOK;D;20220929;000000;10.6997000;10.8782000;10.6220000;10.6787000;4409377
USDNOK;D;20220930;000000;10.6786000;10.9073000;10.6317000;10.8835000;4185726
USDNOK;D;20221002;000000;10.8779500;10.8779500;10.8454000;10.8649300;7727
USDNOK;D;20221003;000000;10.8648200;10.8978000;10.6230000;10.6397000;3211349
USDNOK;D;20221004;000000;10.6397000;10.6778000;10.4174200;10.4403200;4120016
USDNOK;D;20221005;000000;10.4384700;10.6811000;10.4210000;10.4841200;4042686
USDNOK;D;20221006;000000;10.4841200;10.7246200;10.4418000;10.7174100;3791514
USDNOK;D;20221007;000000;10.7165000;10.7591000;10.6528500;10.7023000;3594536
