<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VOW3-TDG;D;21.05.2019;0:00:00;145.7000000;146.8600000;143.8000000;145.0200000;650464
VOW3-TDG;D;22.05.2019;0:00:00;144.4000000;145.1600000;142.2800000;144.0000000;558744
VOW3-TDG;D;23.05.2019;0:00:00;142.1200000;142.5000000;140.6200000;142.2400000;954590
VOW3-TDG;D;24.05.2019;0:00:00;144.4400000;145.1000000;142.4600000;142.9200000;653071
VOW3-TDG;D;27.05.2019;0:00:00;145.8000000;146.3800000;143.1000000;144.2400000;513451
VOW3-TDG;D;28.05.2019;0:00:00;144.4200000;146.6600000;143.9000000;144.6800000;625919
VOW3-TDG;D;29.05.2019;0:00:00;143.7800000;143.8400000;142.4400000;143.1800000;436649
VOW3-TDG;D;30.05.2019;0:00:00;143.7000000;144.5600000;142.3200000;143.1400000;259974
VOW3-TDG;D;31.05.2019;0:00:00;139.0000000;139.5800000;137.1400000;139.3200000;1442146
VOW3-TDG;D;03.06.2019;0:00:00;138.4200000;140.2000000;138.0800000;139.9600000;543444
VOW3-TDG;D;04.06.2019;0:00:00;139.5200000;144.9600000;139.0600000;144.5200000;1092623
VOW3-TDG;D;05.06.2019;0:00:00;143.8600000;144.8200000;141.6600000;142.7400000;702453
VOW3-TDG;D;06.06.2019;0:00:00;142.0000000;144.1400000;140.8200000;142.0000000;696817
VOW3-TDG;D;07.06.2019;0:00:00;142.5000000;142.8600000;140.9600000;142.0200000;610179
VOW3-TDG;D;11.06.2019;0:00:00;143.9000000;145.1000000;143.2600000;143.9400000;708213
VOW3-TDG;D;12.06.2019;0:00:00;142.3000000;143.2600000;141.5400000;142.2000000;554217
VOW3-TDG;D;13.06.2019;0:00:00;141.7000000;143.7200000;140.7400000;142.6600000;532762
VOW3-TDG;D;14.06.2019;0:00:00;142.1800000;142.4600000;140.3800000;141.0000000;465006
VOW3-TDG;D;17.06.2019;0:00:00;141.3600000;142.3000000;140.7200000;141.1600000;386925
VOW3-TDG;D;18.06.2019;0:00:00;140.5400000;144.6600000;139.2600000;143.9200000;933532
VOW3-TDG;D;19.06.2019;0:00:00;143.5000000;145.2800000;143.0400000;145.2400000;629237
VOW3-TDG;D;20.06.2019;0:00:00;146.0000000;148.3000000;145.7600000;146.8200000;609032
VOW3-TDG;D;21.06.2019;0:00:00;146.3000000;148.1200000;146.0800000;146.9800000;1132239
VOW3-TDG;D;24.06.2019;0:00:00;145.5200000;146.9600000;144.7800000;146.8000000;509475
VOW3-TDG;D;25.06.2019;0:00:00;145.1800000;147.1600000;145.1000000;146.0800000;396359
